ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10777,MATH,9998,001,IND,"1 - 12","Zoran Grujic","TBA","TBA","Non-Topical Research, Preparation for Doctoral Research","",Open,0,60,0
13221,MATH,9998,002,IND,"1 - 12","Benjamin Hayes","TBA","TBA","Non-Topical Research, Preparation for Doctoral Research","",Open,3,30,0
10778,MATH,9999,001,IND,"1 - 12","Weiqiang Wang","TBA","TBA","Non-Topical Research","",Open,0,60,0
11510,MATH,9999,002,IND,"1 - 12","Evangelia Gazaki","TBA","TBA","Non-Topical Research","",Open,1,30,0
11511,MATH,9999,003,IND,"1 - 12","Peter Christopher Leslie Humphries","TBA","TBA","Non-Topical Research","",Open,2,30,0
11512,MATH,9999,004,IND,"1 - 12","Nicholas Kuhn","TBA","TBA","Non-Topical Research","",Open,0,30,0
11513,MATH,9999,005,IND,"1 - 12","Christian Gromoll","TBA","TBA","Non-Topical Research","",Open,0,30,0
11514,MATH,9999,006,IND,"1 - 12","Slava Krushkal","TBA","TBA","Non-Topical Research","",Open,0,30,0
11516,MATH,9999,007,IND,"1 - 12","Peter Abramenko","TBA","TBA","Non-Topical Research","",Open,0,30,0
11520,MATH,9999,008,IND,"1 - 12","Brian Parshall","TBA","TBA","Non-Topical Research","",Open,0,30,0
11663,MATH,9999,009,IND,"1 - 12","Thomas Mark","TBA","TBA","Non-Topical Research","",Open,0,30,0
11700,MATH,9999,010,IND,"1 - 12","Mikhail Ershov","TBA","TBA","Non-Topical Research","",Open,1,30,0
11701,MATH,9999,011,IND,"1 - 12","Abdelmalek Abdesselam","TBA","TBA","Non-Topical Research","",Open,0,30,0
11703,MATH,9999,012,IND,"1 - 12","Tai Melcher","TBA","TBA","Non-Topical Research","",Open,0,30,0
11704,MATH,9999,013,IND,"1 - 12","David Sherman","TBA","TBA","Non-Topical Research","",Open,0,30,0
11707,MATH,9999,014,IND,"1 - 12","Andrei Rapinchuk","TBA","TBA","Non-Topical Research","",Open,1,30,0
11844,MATH,9999,015,IND,"1 - 12","Julie Bergner","TBA","TBA","Non-Topical Research","",Open,3,30,0
11855,MATH,9999,016,IND,"1 - 12","Andrew Obus","TBA","TBA","Non-Topical Research","",Open,0,30,0
12227,MATH,9999,017,IND,"1 - 12","Thomas Koberda","TBA","TBA","Non-Topical Research","",Open,1,30,0
12228,MATH,9999,018,IND,"1 - 12","Yen Do","TBA","TBA","Non-Topical Research","",Open,0,30,0
12402,MATH,9999,019,IND,"1 - 12","Sara Maloni","TBA","TBA","Non-Topical Research","",Open,2,30,0
12407,MATH,9999,020,IND,"1 - 12","Jennifer Morse","TBA","TBA","Non-Topical Research","",Open,3,30,0
