ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
20830,NESC,3450,101,Laboratory,"4","Gwendolyn Lewis","We 10:00am - 12:30pm","Gilmer Hall 359","The Study of Neuroscience from Molecules to Minds","",Wait List,18,18,3
20831,NESC,3450,102,Laboratory,"4","Gwendolyn Lewis","We 2:00pm - 4:30pm","Gilmer Hall 359","The Study of Neuroscience from Molecules to Minds","",Wait List,18,18,0
20832,NESC,3450,103,Laboratory,"4","Gwendolyn Lewis","Th 11:00am - 1:30pm","Gilmer Hall 359","The Study of Neuroscience from Molecules to Minds","",Wait List,18,18,1
20833,NESC,3450,104,Laboratory,"4","Gwendolyn Lewis","Th 3:30pm - 6:00pm","Gilmer Hall 359","The Study of Neuroscience from Molecules to Minds","",Open,12,18,0
12521,PHS,3104,001,Lecture,"3","Josh Colston","TuTh 2:00pm - 3:15pm","Multistory (Old) Hospital C1","Introduction to Epidemiology: Methodological and Ethical Considerations","",Closed,24,20,0
10850,PHYS,3040,001,Lecture,"3","Jongsoo Yoon","TuTh 12:30pm - 1:45pm","Physics Bldg 217","Physics of the Human Body","",Open,19,25,0
12320,PSYC,2150,100,Lecture,"3","Mariana Golino","TBA","TBA","Introduction to Cognition","",Wait List,197,198,48
13551,PSYC,2150,101,Laboratory,"0","Mariana Golino","Fr 2:00pm - 3:50pm","Chemistry Bldg 217","Introduction to Cognition","",Wait List,99,99,42
13552,PSYC,2150,102,Laboratory,"0","Mariana Golino","Fr 4:00pm - 5:50pm","Chemistry Bldg 217","Introduction to Cognition","",Wait List,98,99,6
10877,PSYC,2600,001,Lecture,"3","Christopher Mazurek","TuTh 9:30am - 10:45am","Wilson Hall 402","Introduction to Social Psychology","",Wait List,324,325,23
11880,PSYC,2600,002,Lecture,"3","Adrienne Wood","MoWe 2:00pm - 3:15pm","Chemistry Bldg 402","Introduction to Social Psychology","",Wait List,338,338,71
10876,PSYC,2700,001,Lecture,"3","Zoe Robertson","MoWe 2:00pm - 3:15pm","Gilmer Hall 301","Introduction to Child Psychology","",Wait List,337,338,70
12943,PSYC,3200,001,Lecture,"3","Jianhua Cang","TuTh 9:30am - 10:45am","Gilmer Hall 390","Fundamentals of Neuroscience","",Wait List,150,150,67
20372,PSYC,3415,001,Lecture,"3","Zoe Robertson","TuTh 11:00am - 12:15pm","Shannon House 107","Research Methods in Developmental Psychology","",Wait List,35,35,8
20552,PSYC,3445,001,SEM,"3","Aaron Reuben","TuTh 2:00pm - 3:15pm","Gilmer Hall 390","Introduction to Clinical Psychology","",Wait List,150,150,33
14321,PSYC,3490,001,Lecture,"3","Tobias Grossmann","TuTh 11:00am - 12:15pm","Gilmer Hall 390","Infant Development","",Wait List,150,150,72
20375,PSYC,4100,001,SEM,"3","Cedric Williams","TuTh 9:30am - 10:45am","Dell 2 101","Neuroscience of Learning, Emotions and Motivation of Functional Behavior","",Wait List,30,30,40
14513,PSYC,4435,001,SEM,"3","Hudson Golino","We 9:00am - 11:30am","Gilmer Hall Room 250","The Psychology of Misinformation","",Wait List,25,25,12
